first_name,city,email,customer_id,order_id,order_date,shipped_date,product_name,list_price,quantity,net_revenue,order_year,order_month,cost_price,profit,profit_margin,Customer Segment,month_year
Ollie,Anaheim,ollie.zimmerman@yahoo.com,110,1252,2017-11-18,2017-11-21,Sun Bicycles Lil Kitt'n - 2017,109.99,1,87.99,2017,11,65.99,22.0,25.0,New,2017-11
Thalia,Amityville,thalia.horne@yahoo.com,114,1472,2018-03-29,2018-03-31,Sun Bicycles Lil Kitt'n - 2017,109.99,1,87.99,2018,3,65.99,22.0,25.0,New,2018-03
Collen,San Pablo,collen.dennis@gmail.com,1097,690,2017-02-03,2017-02-06,Sun Bicycles Lil Kitt'n - 2017,109.99,1,87.99,2017,2,65.99,22.0,25.0,New,2017-02
Andria,Amarillo,andria.rivers@aol.com,730,1210,2017-10-26,2017-10-29,Sun Bicycles Lil Kitt'n - 2017,109.99,1,98.99,2017,10,65.99,33.0,33.34,New,2017-10
Klara,Rome,klara.kim@gmail.com,858,667,2017-01-22,2017-01-25,Sun Bicycles Lil Kitt'n - 2017,109.99,1,98.99,2017,1,65.99,33.0,33.34,New,2017-01
Pamala,Ballston Spa,pamala.fowler@gmail.com,832,733,2017-02-26,2017-02-27,Sun Bicycles Lil Kitt'n - 2017,109.99,1,104.49,2017,2,65.99,38.5,36.85,New,2017-02
Stephanie,Rowlett,stephanie.browning@yahoo.com,850,701,2017-02-07,2017-02-09,Sun Bicycles Lil Kitt'n - 2017,109.99,1,104.49,2017,2,65.99,38.5,36.85,New,2017-02
Bong,Torrance,bong.hebert@gmail.com,192,1194,2017-10-19,2017-10-22,Sun Bicycles Lil Kitt'n - 2017,109.99,1,104.49,2017,10,65.99,38.5,36.85,New,2017-10
Yan,Duarte,yan.mcgowan@msn.com,87,747,2017-03-03,2017-03-05,Trek Girl's Kickster - 2017,149.99,1,119.99,2017,3,89.99,30.0,25.0,New,2017-03
Stephen,Anaheim,stephen.vega@msn.com,957,928,2017-06-05,2017-06-06,Trek Boy's Kickster - 2015/2017,149.99,1,119.99,2017,6,89.99,30.0,25.0,New,2017-06
Romana,Floral Park,romana.barnes@yahoo.com,656,922,2017-05-31,2017-06-03,Trek Girl's Kickster - 2017,149.99,1,134.99,2017,5,89.99,45.000000000000014,33.34,New,2017-05
Penni,Anaheim,penni.best@msn.com,1418,1002,2017-07-14,2017-07-16,Trek Boy's Kickster - 2015/2017,149.99,1,134.99,2017,7,89.99,45.000000000000014,33.34,New,2017-07
Coleen,Webster,coleen.navarro@aol.com,888,1162,2017-10-01,2017-10-03,Trek Girl's Kickster - 2017,149.99,1,134.99,2017,10,89.99,45.000000000000014,33.34,New,2017-10
Venessa,Scarsdale,venessa.frost@msn.com,949,656,2017-01-16,2017-01-18,Trek Boy's Kickster - 2015/2017,149.99,1,134.99,2017,1,89.99,45.000000000000014,33.34,New,2017-01
Selene,Duarte,selene.austin@msn.com,530,687,2017-02-02,2017-02-04,Trek Boy's Kickster - 2015/2017,149.99,1,139.49,2017,2,89.99,49.500000000000014,35.49,New,2017-02
Genevie,Monroe,genevie.miles@aol.com,935,1272,2017-11-27,2017-11-30,Trek Girl's Kickster - 2017,149.99,1,139.49,2017,11,89.99,49.500000000000014,35.49,New,2017-11
Rodrigo,Richmond Hill,rodrigo.durham@aol.com,869,1156,2017-09-30,2017-10-03,Trek Girl's Kickster - 2017,149.99,1,142.49,2017,9,89.99,52.500000000000014,36.84,New,2017-09
Marlen,Woodside,marlen.dawson@msn.com,1281,1038,2017-07-31,2017-08-03,Trek Boy's Kickster - 2015/2017,149.99,1,142.49,2017,7,89.99,52.500000000000014,36.84,New,2017-07
Cori,Jamaica,cori.schwartz@msn.com,1086,1080,2017-08-19,2017-08-20,Trek Girl's Kickster - 2017,149.99,1,142.49,2017,8,89.99,52.500000000000014,36.84,New,2017-08
Coleen,Webster,coleen.navarro@aol.com,888,1162,2017-10-01,2017-10-03,Trek Precaliber 12 Girls - 2017,189.99,1,151.99,2017,10,113.99,38.000000000000014,25.0,New,2017-10
Mila,Troy,mila.moody@gmail.com,1403,968,2017-06-21,2017-06-23,Trek Precaliber 12 Boys - 2017,189.99,1,151.99,2017,6,113.99,38.000000000000014,25.0,New,2017-06
Travis,Los Banos,travis.goodman@yahoo.com,495,1011,2017-07-18,2017-07-21,Trek Precaliber 12 Girls - 2017,189.99,1,151.99,2017,7,113.99,38.000000000000014,25.0,New,2017-07
Lurlene,Yonkers,lurlene.finch@msn.com,1410,866,2017-04-29,2017-05-01,Trek Precaliber 12 Girls - 2017,189.99,1,151.99,2017,4,113.99,38.000000000000014,25.0,New,2017-04
Jennette,Banning,jennette.baker@gmail.com,671,771,2017-03-11,2017-03-12,Trek Precaliber 12 Girls - 2017,189.99,1,151.99,2017,3,113.99,38.000000000000014,25.0,New,2017-03
Onita,Elmont,onita.johns@msn.com,44,1253,2017-11-18,2017-11-21,Trek Precaliber 12 Girls - 2017,189.99,1,151.99,2017,11,113.99,38.000000000000014,25.0,New,2017-11
Luciana,Selden,luciana.mcgee@msn.com,718,916,2017-05-28,2017-05-29,Haro Shredder 20 - 2017,209.99,1,167.99,2017,5,125.99,42.000000000000014,25.0,New,2017-05
Jama,Upland,jama.rodriquez@msn.com,1343,783,2017-03-16,2017-03-17,Haro Shredder 20 - 2017,209.99,1,167.99,2017,3,125.99,42.000000000000014,25.0,New,2017-03
Tereasa,Ronkonkoma,tereasa.bird@aol.com,1312,717,2017-02-15,2017-02-17,Haro Shredder 20 Girls - 2017,209.99,1,167.99,2017,2,125.99,42.000000000000014,25.0,New,2017-02
Kermit,Patchogue,kermit.hyde@hotmail.com,775,855,2017-04-22,2017-04-25,Trek Precaliber 16 Boys - 2017,209.99,1,167.99,2017,4,125.99,42.000000000000014,25.0,New,2017-04
